City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,dikson,73.51,80.55,15.17,94,95,13.78,RU,1581791584
88,taltal,-25.4,-70.48,69.71,69,80,7.43,CL,1581791625
89,yola,9.2,12.48,83.52,12,17,2.64,NG,1581791625
90,yagodnoye,62.55,149.67,-23.31,91,0,3.06,RU,1581791625
91,muisne,0.6,-80.03,78.8,100,75,4.7,EC,1581791625
92,sikasso,10.92,-7.0,91.51,7,78,4.99,ML,1581791626
93,cotonou,6.37,2.42,84.2,79,20,6.93,BJ,1581791626
94,pacific grove,36.62,-121.92,57.99,62,1,5.82,US,1581791626
95,ponta do sol,32.67,-17.1,66.2,68,40,5.82,PT,1581791626
96,narsaq,60.92,-46.05,28.4,50,75,2.24,GL,1581791626
97,bud,39.45,-86.18,42.01,51,40,13.87,US,1581791358
98,bandarbeyla,9.49,50.81,76.32,77,66,16.08,SO,1581791627
99,xinxiang,35.31,113.87,30.2,24,4,4.97,CN,1581791627
100,auki,-8.77,160.7,82.51,79,100,25.77,SB,1581791396
101,hualmay,-11.1,-77.61,79.34,59,9,10.94,PE,1581791627
102,asau,46.43,26.4,41.0,75,75,8.05,RO,1581791627
103,vardo,70.37,31.11,20.23,85,0,17.36,NO,1581791627
104,yar-sale,66.83,70.83,2.91,96,61,6.33,RU,1581791365
105,morehead,37.27,-87.18,46.99,26,1,12.75,US,1581791628
106,atuona,-9.8,-139.03,81.54,75,47,18.54,PF,1581791628
107,kieta,-6.22,155.63,80.24,74,99,5.26,PG,1581791628
108,chuy,-33.7,-53.46,84.18,54,5,6.22,UY,1581791628
109,halifax,44.65,-63.57,23.0,57,40,6.93,CA,1581791431
110,srednekolymsk,67.45,153.68,-30.15,96,66,6.04,RU,1581791629
111,bathsheba,13.22,-59.52,82.4,65,20,24.16,BB,1581791378
112,aranos,-24.13,19.12,85.37,34,94,10.54,NA,1581791629
113,cape town,-33.93,18.42,72.0,77,4,14.99,ZA,1581791629
114,bullhead city,35.15,-114.57,62.01,30,40,3.98,US,1581791365
115,cao bang,22.67,106.25,55.26,70,97,8.97,VN,1581791630
116,chokurdakh,70.63,147.92,-26.93,89,0,9.48,RU,1581791630
117,balkhash,46.84,74.98,16.92,77,78,5.37,KZ,1581791630
118,beringovskiy,63.05,179.32,-2.45,82,100,25.01,RU,1581791630
119,upata,8.01,-62.4,92.7,34,14,7.9,VE,1581791630
120,carballo,43.21,-8.69,60.01,77,75,21.92,ES,1581791631
121,bursa,40.17,29.08,44.6,93,75,2.24,TR,1581791631
122,itarema,-2.92,-39.92,84.18,70,100,8.59,BR,1581791351
123,cabo san lucas,22.89,-109.91,79.0,56,20,2.24,MX,1581791481
124,coos bay,43.37,-124.22,46.99,93,90,10.29,US,1581791631
125,bredasdorp,-34.53,20.04,72.0,83,0,5.82,ZA,1581791632
126,longyearbyen,78.22,15.64,12.2,66,75,13.87,SJ,1581791632
127,port macquarie,-31.43,152.92,71.01,100,90,3.36,AU,1581791632
128,castro,-24.79,-50.01,82.89,43,80,5.44,BR,1581791419
129,mandalgovi,45.76,106.27,5.32,69,0,7.83,MN,1581791632
130,grand baie,-20.02,57.58,80.6,78,40,14.99,MU,1581791633
131,male,4.17,73.51,84.2,79,40,9.17,MV,1581791614
132,anadyr,64.75,177.48,1.4,59,100,29.08,RU,1581791442
133,labuhan,-6.88,112.21,75.45,90,100,2.33,ID,1581791633
134,mar del plata,-38.0,-57.56,90.0,39,0,19.46,AR,1581791570
135,zhezkazgan,47.8,67.71,21.65,93,100,3.11,KZ,1581791634
136,qurayyat,31.33,37.34,57.2,35,0,6.93,SA,1581791606
137,acarau,-2.89,-40.12,84.18,70,100,8.59,BR,1581791634
138,new norfolk,-42.78,147.06,55.4,62,90,8.05,AU,1581791634
139,lavrentiya,65.58,-171.0,-5.78,79,100,9.1,RU,1581791634
140,port elizabeth,-33.92,25.57,75.2,88,40,14.99,ZA,1581791635
141,monchegorsk,67.94,32.87,12.94,92,91,6.87,RU,1581791635
142,ridgecrest,35.62,-117.67,59.0,32,1,2.57,US,1581791635
143,chalchihuites,23.48,-103.88,66.04,31,100,11.9,MX,1581791635
144,camacupa,-12.02,17.48,67.21,94,96,5.55,AO,1581791635
145,asyut,27.18,31.18,66.2,45,0,5.82,EG,1581791635
146,tuktoyaktuk,69.45,-133.04,-43.6,64,5,3.76,CA,1581791636
147,souillac,-20.52,57.52,80.6,78,40,14.99,MU,1581791636
148,nushki,29.55,66.02,51.84,37,4,4.81,PK,1581791636
149,coquimbo,-29.95,-71.34,69.8,64,21,13.87,CL,1581791636
150,masalli,34.8,126.66,39.2,100,100,13.87,KR,1581791636
151,sao joao da barra,-21.64,-41.05,87.8,62,20,11.41,BR,1581791637
152,lebu,-37.62,-73.65,71.46,49,0,8.84,CL,1581791346
153,katobu,-4.94,122.53,76.06,91,47,1.48,ID,1581791637
154,ribeira grande,38.52,-28.7,62.6,93,75,20.8,PT,1581791339
155,foam lake,51.65,-103.53,-10.86,90,15,12.12,CA,1581791638
156,nouadhibou,20.93,-17.03,80.6,32,88,9.17,MR,1581791638
157,tongchuan,35.08,109.09,23.31,28,78,1.3,CN,1581791639
158,aklavik,68.22,-135.01,-38.2,64,20,6.67,CA,1581791395
159,kendari,-3.94,122.5,76.46,91,25,2.04,ID,1581791639
160,petersburg,37.23,-77.4,39.99,37,1,3.36,US,1581791586
161,kholodnyy,62.72,147.95,-22.34,99,0,6.4,RU,1581791639
162,tocopilla,-22.09,-70.2,77.29,37,52,13.6,CL,1581791639
163,ipameri,-17.72,-48.16,80.69,73,36,2.66,BR,1581791640
164,east london,-33.02,27.91,77.0,88,100,9.17,ZA,1581791640
165,kokologo,12.19,-1.89,91.4,7,0,9.17,BF,1581791640
166,bouna,9.27,-3.0,89.92,5,0,3.38,CI,1581791640
167,manzhouli,49.6,117.43,-1.97,82,0,5.99,CN,1581791640
168,lensk,60.73,114.93,10.71,91,93,10.98,RU,1581791640
169,klyuchi,52.27,79.17,12.04,78,14,4.05,RU,1581791641
170,zhigansk,66.77,123.37,-10.37,97,100,18.28,RU,1581791641
171,abu dhabi,24.47,54.37,66.2,82,20,3.36,AE,1581791446
172,daurala,29.12,77.68,57.42,51,0,5.99,IN,1581791641
173,burns lake,54.23,-125.75,21.38,91,35,2.98,CA,1581791513
174,dingle,11.0,122.67,72.82,87,8,9.35,PH,1581791641
175,isangel,-19.55,169.27,78.08,78,80,17.85,VU,1581791642
176,yatou,37.15,122.38,29.05,68,96,19.24,CN,1581791405
177,hasaki,35.73,140.83,43.0,100,75,1.12,JP,1581791642
178,marquette,46.53,-87.63,23.0,72,90,17.22,US,1581791642
179,nome,64.5,-165.41,3.2,49,90,11.41,US,1581791642
180,gambiran,-6.8,111.5,75.34,92,99,0.98,ID,1581791642
181,saint george,37.1,-113.58,53.01,36,1,0.34,US,1581791609
182,naranjal,-2.67,-79.62,77.0,94,90,4.7,EC,1581791643
183,sola,-13.88,167.55,82.99,83,88,19.17,VU,1581791643
184,vila velha,-20.33,-40.29,88.0,70,20,17.22,BR,1581791643
185,vestmannaeyjar,63.44,-20.27,39.2,67,75,26.4,IS,1581791643
186,saskylakh,71.92,114.08,10.0,93,100,9.66,RU,1581791644
187,kirakira,-10.45,161.92,78.12,86,99,13.8,SB,1581791644
188,nikolskoye,59.7,30.79,33.8,80,75,11.18,RU,1581791644
189,pampierstad,-27.78,24.69,79.77,41,36,10.67,ZA,1581791644
190,chumikan,54.72,135.31,-3.15,75,72,10.38,RU,1581791644
191,lavras,-21.25,-45.0,77.38,76,23,4.38,BR,1581791644
192,shestakovo,56.49,103.96,4.32,96,1,3.02,RU,1581791645
193,aripuana,-9.17,-60.63,84.31,70,99,5.14,BR,1581791645
194,thompson,55.74,-97.86,-4.0,58,75,14.99,CA,1581791645
195,nemuro,43.32,145.57,22.86,63,100,18.7,JP,1581791645
196,marshall,34.38,-86.33,53.01,39,1,8.05,US,1581791645
197,plettenberg bay,-34.05,23.37,71.26,88,65,7.47,ZA,1581791646
198,wladyslawowo,54.79,18.4,42.01,86,75,12.75,PL,1581791646
199,luanda,-8.84,13.23,82.4,78,75,11.41,AO,1581791466
200,trat,12.5,102.5,82.0,63,1,2.24,TH,1581791646
201,provideniya,64.38,-173.3,-6.5,72,100,15.68,RU,1581791646
202,lasa,46.62,10.7,42.8,64,5,2.17,IT,1581791646
203,viedma,-40.81,-63.0,87.12,16,0,14.88,AR,1581791647
204,saint-augustin,51.23,-58.65,5.67,66,19,20.22,CA,1581791395
205,bethel,41.37,-73.41,30.0,35,1,8.05,US,1581791647
206,belmonte,-15.86,-38.88,87.8,70,20,9.17,BR,1581791647
207,khatanga,71.97,102.5,7.65,92,100,10.31,RU,1581791647
208,necochea,-38.55,-58.74,90.0,49,0,15.01,AR,1581791647
209,fairbanks,64.84,-147.72,-25.6,67,1,3.36,US,1581791370
210,phan thiet,10.93,108.1,70.81,90,11,3.53,VN,1581791648
211,harper,4.38,-7.72,83.3,73,15,6.71,LR,1581791648
212,grindavik,63.84,-22.43,35.6,74,75,40.26,IS,1581791648
213,palana,59.12,159.97,2.01,83,27,7.29,RU,1581791585
214,iqaluit,63.75,-68.51,-23.01,61,20,5.82,CA,1581791447
215,saint thomas mount,13.0,80.2,80.01,65,13,8.05,IN,1581791649
216,buala,-8.14,159.59,79.18,83,100,13.22,SB,1581791649
217,flinders,-34.58,150.86,68.0,100,90,12.12,AU,1581791649
218,mahebourg,-20.41,57.7,80.6,78,40,14.99,MU,1581791650
219,gloggnitz,47.67,15.94,46.99,61,68,13.87,AT,1581791650
220,albania,41.0,20.0,51.8,48,20,10.29,AL,1581791650
221,svetlogorsk,52.63,29.73,35.13,85,100,3.56,BY,1581791650
222,high rock,26.62,-78.28,73.4,94,90,17.22,BS,1581791650
223,pangnirtung,66.15,-65.71,-27.4,67,20,3.36,CA,1581791650
224,muros,42.78,-9.06,63.0,93,90,13.87,ES,1581791651
225,tautira,-17.73,-149.15,82.4,74,75,9.17,PF,1581791651
226,nalut,30.33,10.85,58.86,49,0,13.02,LY,1581791651
227,sheffield,53.38,-1.47,55.4,93,90,29.97,GB,1581791515
228,ghanzi,-21.57,21.78,81.43,39,100,6.78,BW,1581791651
229,sarangani,5.4,125.46,81.81,74,3,20.22,PH,1581791652
230,bilibino,68.05,166.44,-32.78,100,100,2.71,RU,1581791652
231,tsiroanomandidy,-18.77,46.03,71.4,89,100,2.73,MG,1581791652
232,rocha,-34.48,-54.33,92.05,25,0,3.38,UY,1581791652
233,ruteng,-8.61,120.47,69.42,92,64,2.37,ID,1581791652
234,almora,29.62,79.67,47.41,86,0,2.04,IN,1581791653
235,robertsport,6.75,-11.37,81.75,78,0,17.07,LR,1581791653
236,cartagena del chaira,1.33,-74.84,92.16,39,58,6.73,CO,1581791653
237,oelde,51.82,8.15,51.8,57,64,9.17,DE,1581791653
238,nyuzen,36.93,137.5,45.0,78,59,1.01,JP,1581791654
239,menongue,-14.66,17.69,67.37,91,100,1.45,AO,1581791654
240,rio gallegos,-51.62,-69.22,60.8,29,40,38.03,AR,1581791508
241,maceio,-9.67,-35.74,87.8,55,40,13.87,BR,1581791438
242,datong,40.09,113.29,12.72,34,99,8.81,CN,1581791654
243,preobrazheniye,42.9,133.91,19.26,90,100,7.16,RU,1581791654
244,avera,33.19,-82.53,57.0,50,1,6.93,US,1581791592
245,vidim,56.41,103.11,3.07,95,0,2.91,RU,1581791655
246,paamiut,61.99,-49.67,18.37,87,90,17.07,GL,1581791655
247,pagudpud,18.56,120.79,71.6,94,20,2.24,PH,1581791655
248,los llanos de aridane,28.66,-17.92,68.0,72,20,10.29,ES,1581791655
249,port blair,11.67,92.75,79.02,63,0,9.44,IN,1581791655
250,prince rupert,54.32,-130.32,41.0,80,90,13.87,CA,1581791656
251,sri aman,1.24,111.46,77.0,100,100,2.57,MY,1581791656
252,thanh hoa,19.8,105.77,69.01,76,42,16.8,VN,1581791656
253,port hardy,50.7,-127.42,41.0,93,90,3.04,CA,1581791656
254,zyryanka,65.75,150.85,-30.05,96,5,4.34,RU,1581791656
255,kashi,39.45,75.98,28.4,42,89,4.47,CN,1581791656
256,nova venecia,-18.71,-40.4,86.72,62,69,4.38,BR,1581791657
257,saint-philippe,-21.36,55.77,78.8,78,54,5.82,RE,1581791657
258,mount isa,-20.73,139.5,89.6,24,0,11.41,AU,1581791657
259,yerbogachen,61.28,108.01,3.18,96,79,7.09,RU,1581791657
260,sangar,63.92,127.47,-25.56,90,34,4.34,RU,1581791585
261,mackay,-21.15,149.2,80.01,94,5,5.82,AU,1581791456
262,ghugus,19.93,79.13,75.9,23,0,3.8,IN,1581791658
263,samarai,-10.62,150.67,75.31,89,9,3.91,PG,1581791658
264,haines junction,60.75,-137.51,-13.34,96,100,4.36,CA,1581791658
265,kamenka,51.32,42.77,30.0,90,58,4.47,RU,1581791658
266,dandong,40.13,124.39,20.48,91,100,12.06,CN,1581791659
267,dauphin,51.15,-100.05,1.4,54,1,20.8,CA,1581791659
268,ornskoldsvik,63.29,18.72,30.2,100,41,3.36,SE,1581791369
269,newberry,34.27,-81.62,52.0,49,1,4.38,US,1581791660
270,rio grande,-32.03,-52.1,87.8,62,75,13.87,BR,1581791660
271,meru,0.05,37.66,51.87,98,97,3.58,KE,1581791660
272,tabuk,17.42,121.44,67.98,90,32,5.79,PH,1581791452
273,hovd,48.01,91.64,-1.39,92,0,1.34,MN,1581791661
274,port hedland,-20.32,118.57,80.6,78,0,8.05,AU,1581791661
275,karratha,-20.74,116.85,82.78,80,1,14.36,AU,1581791661
276,taksimo,56.34,114.88,-0.63,93,16,0.49,RU,1581791661
277,lorengau,-2.02,147.27,83.03,81,64,14.14,PG,1581791661
278,erenhot,43.65,111.98,6.01,77,16,8.32,CN,1581791661
279,karaton,-6.34,106.1,78.8,83,40,2.24,ID,1581791662
280,dunedin,-45.87,170.5,59.0,92,100,3.0,NZ,1581791662
281,limenaria,40.63,24.58,51.01,66,95,4.7,GR,1581791662
282,angoche,-16.23,39.91,77.63,85,2,2.66,MZ,1581791662
283,maldonado,-34.67,-54.92,80.6,47,20,13.87,UY,1581791662
284,carnarvon,-24.87,113.63,75.2,83,90,18.34,AU,1581791577
285,laguna,38.42,-121.42,61.0,76,1,1.43,US,1581791663
286,arandis,-22.42,14.97,66.0,86,6,1.99,NA,1581791663
287,talara,-4.58,-81.27,62.6,100,57,11.41,PE,1581791663
288,ganserndorf,48.34,16.72,46.99,75,91,8.05,AT,1581791663
289,abu samrah,35.3,37.18,38.82,78,77,15.1,SY,1581791663
290,vostok,46.49,135.88,-9.06,94,58,2.73,RU,1581791664
291,cozumel,20.51,-86.95,86.0,58,40,8.05,MX,1581791530
292,sitka,57.05,-135.33,35.6,100,90,4.7,US,1581791664
293,rosetta,31.4,30.42,60.8,77,0,5.82,EG,1581791664
294,kodiak,57.79,-152.41,28.4,92,90,4.92,US,1581791374
295,shemgang,27.22,90.66,50.07,78,9,4.92,BT,1581791664
296,jalu,29.03,21.55,62.26,55,5,15.05,LY,1581791369
297,cockburn town,21.46,-71.14,82.4,58,20,11.41,TC,1581791665
298,kidal,18.44,1.41,78.87,7,67,10.36,ML,1581791665
299,kaili,-3.46,120.21,63.23,94,100,1.52,ID,1581791665
300,revelstoke,50.98,-118.2,33.8,94,90,5.82,CA,1581791665
301,sivaki,52.63,126.75,-7.6,87,7,6.87,RU,1581791665
302,atasu,48.68,71.64,22.19,95,100,3.53,KZ,1581791666
303,nantucket,41.28,-70.1,28.0,63,40,11.41,US,1581791418
304,marzuq,14.4,46.47,61.32,48,0,2.1,YE,1581791666
305,bestobe,52.5,73.1,14.9,89,100,6.58,KZ,1581791666
306,oron,4.83,8.23,82.85,65,45,10.09,NG,1581791666
307,bodden town,19.28,-81.25,86.0,62,20,12.75,KY,1581791667
308,katsuura,35.13,140.3,48.2,81,75,6.93,JP,1581791667
309,vao,-22.67,167.48,79.63,77,58,17.02,NC,1581791667
